# executed_by=A4, sop=a4-photo-convert-sop v1.0
seq,webp_name,source_basename,source_folder,sha1,bytes_out,error
1,maplab-tainan-opening-tea-01.webp,IMG_1400.HEIC,0621說事實木地板開幕,f2def955ac7afe75c877d20d47b7b701581f128a,199794,
2,maplab-tainan-opening-tea-02.webp,IMG_1408.HEIC,0621說事實木地板開幕,11c6d0fe25b7250d69b1f2fb50df1a8efa116f04,280212,
3,maplab-tainan-opening-tea-03.webp,IMG_1409.HEIC,0621說事實木地板開幕,d6dc974bd4e009779879a7b49758fca0c3174b3d,214740,
4,maplab-tainan-opening-tea-04.webp,IMG_1410.HEIC,0621說事實木地板開幕,842d2626149016b132e3b38e1626e5cc84aa0df5,117642,
5,maplab-tainan-opening-tea-05.webp,IMG_1411.HEIC,0621說事實木地板開幕,b774154b47494b335c2cc68d6a0dfd38c4bc32fa,104196,
6,maplab-tainan-opening-tea-06.webp,IMG_1412.HEIC,0621說事實木地板開幕,fea37692b4eab4864279d397e30c19825b7e12f7,149988,
7,maplab-tainan-opening-tea-07.webp,IMG_1413.HEIC,0621說事實木地板開幕,fb3f4b2a50ff3c8203ab3663f0262a86e36266a2,159618,
8,maplab-tainan-opening-tea-08.webp,IMG_1414.HEIC,0621說事實木地板開幕,5f17a73b93e812bf989bbddaee2ac1158386943f,205532,
9,maplab-tainan-opening-tea-09.webp,IMG_1415.HEIC,0621說事實木地板開幕,2190cc84caede7db00244ec69641daf98a6795ad,207204,
10,maplab-tainan-opening-tea-10.webp,IMG_1416.HEIC,0621說事實木地板開幕,e6c8b2db3865cd7c5c4c3af5b534c81a4ebe9a2f,165440,
11,maplab-tainan-opening-tea-11.webp,IMG_1417.HEIC,0621說事實木地板開幕,b575ab797f639ef06f513fe547621d7ca20407ac,124156,
12,maplab-tainan-opening-tea-12.webp,IMG_1418.HEIC,20260621說事實木地板開幕,a98405ae900c80dd1cbb0fc8773ac3215b4c412e,111110,
13,maplab-tainan-opening-tea-13.webp,IMG_1419.HEIC,0621說事實木地板開幕,ea92fc5db4d96105d492d842a04e595b1a9651ab,218772,
14,maplab-tainan-opening-tea-14.webp,IMG_1420.HEIC,0621說事實木地板開幕,9eb32381ebc30e2f1572ba5e362cfd9de7c2c1f7,139538,
15,maplab-tainan-opening-tea-15.webp,IMG_1421.HEIC,0621說事實木地板開幕,707f24d2755398622ac3379d2fd9478b97bb0ec0,140040,
16,maplab-tainan-opening-tea-16.webp,IMG_1422.HEIC,0621說事實木地板開幕,a17b99bacd764dde8184eb968d40eb73460a562e,142704,
17,maplab-tainan-opening-tea-17.webp,IMG_1423.HEIC,0621說事實木地板開幕,34a8da019889d4a00eb23f35e4576c9285346610,152286,
