query,clicks,impressions,ctr,position
台南外燴,113,2168,5.21,7.5
maplab kitchen,104,247,42.11,1.0
台南野餐餐盒,70,442,15.84,4.8
map lab kitchen,57,304,18.75,3.9
小型外燴台南,53,1051,5.04,6.9
台南外燴推薦,51,1048,4.87,7.5
台南小型外燴價格,34,228,14.91,3.4
台南派對場地租借,32,577,5.55,8.6
台南野餐食物,28,174,16.09,2.4
台南 外燴,24,570,4.21,7.6
金廣海產,20,644,3.11,3.7
台南到府外燴,18,478,3.77,9.7
台南野餐,16,1366,1.17,4.2
台南外燴點心,15,254,5.91,7.5
台南戶外場地租借,15,160,9.38,7.8
金廣海產/金廣牛肉湯的菜單,15,528,2.84,3.3
小型派對場地台南,13,121,10.74,4.7
入厝派對,12,205,5.85,4.7
台南茶會點心推薦,12,235,5.11,9.3
map lab kitchen 異國 料理 體驗 廚房,11,148,7.43,4.9
金廣海產/金廣牛肉湯,11,497,2.21,3.1
開幕儀式,11,654,1.68,7.8
台南性別趴,10,182,5.49,7.9
台南外匯,9,104,8.65,7.6
性別揭曉方式,9,206,4.37,9.3
10人外燴推薦台南,8,88,9.09,3.3
台南派對場地,8,104,7.69,5.3
入厝趴食物,7,307,2.28,11.0
台南外燴自助餐,7,231,3.03,5.9
台南外燴點心推薦,7,186,3.76,7.7
台南抓周場地,7,97,7.22,11.6
野餐食物外帶,7,262,2.67,3.4
台南抓周,6,76,7.89,33.5
金廣,6,487,1.23,7.1
map lab,5,78,6.41,3.2
入厝趴,5,559,0.89,3
公司開幕儀式,5,78,6.41,5.4
台南茶會點心,5,51,9.8,10.6
台南餐盒推薦,5,207,2.42,8.9
適合外帶聚餐的食物,5,275,1.82,7.2
台南 野餐,4,510,0.78,5.7
台南派對外燴,4,288,1.39,5.2
台南生日派對場地,4,139,2.88,5.7
外燴 台南,4,74,5.41,7.1
外燴價格,4,136,2.94,7.7
小型外燴價格,4,261,1.53,10.2
性別派對流程,4,315,1.27,6.3
入厝外燴,3,69,4.35,6.7
公司簡單開張儀式,3,25,12.0,5.4
台南包場,3,38,7.89,12.2
台南茶點外燴,3,44,6.82,9.5
壽宴,3,838,0.36,9.2
滿月酒餐廳,3,8,37.5,3.4
茶會點心台南,3,32,9.38,11.0
野餐餐盒,3,444,0.68,14.7
開幕活動,3,216,1.39,31.3
北區早午餐,2,412,0.49,38.0
台南,2,8,25.0,2.1
台南性別派對餐廳,2,50,4.0,17.7
台南抓週,2,16,12.5,34.2
