source_filename,output_filename,target_width,target_height,slot,landing,status,bytes,actual_width,actual_height,alt_text
"國泰建設財富管理論壇.png","maplab-corporate-forum-cathay-wealth-management-hero.webp","1600","900","hero_16x9","corporate-catering-tainan / brand activity","converted_sharp","90244","1600","900","MAPLAB 台南企業外燴，國泰建設財富管理論壇茶點桌"
"成大會議茶點.PNG","maplab-meeting-refreshment-ncku-library-story.webp","1080","1920","story_9x16","corporate-tea-party-desserts","converted_sharp","172340","1080","1920","MAPLAB 成功大學會議茶點，台南研討會點心外燴"
"成大實驗室揭牌典禮.JPG","maplab-university-lab-opening-ncku-case.webp","1200","900","case_4x3","corporate-tea-party-desserts","converted_ffmpeg_fallback","106246","1200","900","MAPLAB 成功大學實驗室揭牌典禮茶點，校園活動外燴"
"長榮大學emba音樂會.JPG","maplab-university-emba-concert-tea-break-story.webp","1080","1920","story_9x16","corporate-tea-party-desserts","converted_sharp","186772","1080","1920","MAPLAB 長榮大學 EMBA 音樂會茶點，活動點心外燴"
"amd辦公室開幕茶會.JPG","maplab-office-opening-amd-tea-party-story.webp","1080","1920","story_9x16","tainan-corporate-opening-tea-catering","converted_ffmpeg_fallback","95800","1080","1920","MAPLAB 辦公室開幕茶會，科技公司開幕活動餐點"
"東京威力科創廠區開幕.HEIC","maplab-tech-factory-opening-tea-party-story.webp","1080","1920","story_9x16","tainan-corporate-opening-tea-catering","converted_ffmpeg_fallback","238190","1080","1920","MAPLAB 科技廠區開幕茶會，企業開幕活動外燴"
"興達海洋公司開幕茶會.JPG","maplab-company-opening-ocean-industry-tea-party-case.webp","1200","900","case_4x3","tainan-corporate-opening-tea-catering","converted_ffmpeg_fallback","172178","1200","900","MAPLAB 公司開幕茶會，台南企業開幕茶點桌"
"家居與設計開幕茶會.PNG","maplab-interior-design-opening-tea-party-meta.webp","1080","1350","meta_4x5","tainan-corporate-opening-tea-catering","converted_sharp","117264","1080","1350","MAPLAB 家居與設計開幕茶會，品牌空間開幕餐點"
"美學中心開幕茶會.jpg","maplab-aesthetic-center-opening-tea-party-case.webp","1200","900","case_4x3","tainan-corporate-opening-tea-catering","converted_sharp","71326","1200","900","MAPLAB 美學中心開幕茶會，點心與茶會佈置"
"賓士集團捐車送愛心活動.PNG","maplab-brand-public-benefit-benz-donation-event-case.webp","1200","900","case_4x3","press-conference-catering / brand activity","converted_ffmpeg_fallback","128854","1200","900","MAPLAB 企業公益活動茶點，品牌公益活動餐點服務"
"美麗代言人微商大會再創巔峰.PNG","maplab-brand-conference-beauty-summit-meta.webp","1080","1350","meta_4x5","brand activity / press-conference-catering","converted_sharp","141352","1080","1350","MAPLAB 品牌大會活動茶點，微商大會外燴餐點陳列"
"上曜建設vip迎賓.PNG","maplab-real-estate-vip-reception-shangyao-story.webp","1080","1920","story_9x16","vip-expo-catering-business-meeting","converted_sharp","213662","1080","1920","MAPLAB 建設公司 VIP 迎賓茶點，建案接待外燴服務"
"泰嘉建設vip說明會.PNG","maplab-real-estate-vip-briefing-taijia-story.webp","1080","1920","story_9x16","vip-expo-catering-business-meeting","converted_sharp","183294","1080","1920","MAPLAB 建案 VIP 潛銷說明會茶點，房地產接待餐點"
"松丹達麗vip茶會.PNG","maplab-real-estate-vip-tea-songdan-story.webp","1080","1920","story_9x16","vip-expo-catering-business-meeting","converted_sharp","187464","1080","1920","MAPLAB 建設 VIP 茶會點心，房地產客戶接待外燴"
"宏福悅vip接待會.HEIC","maplab-real-estate-vip-reception-hongfuyue-hero.webp","1600","900","hero_16x9","vip-expo-catering-business-meeting","converted_ffmpeg_fallback","190386","1600","900","MAPLAB 房地產 VIP 接待會茶點，建案活動外燴"
"大新美術館開幕茶會.JPG","maplab-art-museum-opening-daxin-hero.webp","1600","900","hero_16x9","daxin-art-museum-opening-catering","converted_ffmpeg_fallback","226088","1600","900","MAPLAB 大新美術館開幕茶會，藝文場館外燴餐點"
"宮崎御所美術館開幕","maplab-art-museum-opening-miyazaki-case.webp","1600","900","hero_16x9","daxin-art-museum-opening-catering","converted_ffmpeg_fallback","186372","1600","900","MAPLAB 美術館開幕茶會，文化場館活動點心服務"
"國立台灣史前博物館西拉雅特展.HEIC","maplab-museum-exhibition-siraya-opening-case.webp","1600","900","hero_16x9","daxin-art-museum-opening-catering","converted_ffmpeg_fallback","137534","1600","900","MAPLAB 國立台灣史前博物館西拉雅特展茶會，展覽活動外燴"
"台南美術館湯德章圓環美食.HEIC","maplab-tainan-art-museum-tangdezhang-food-event-story.webp","1080","1920","story_9x16","daxin-art-museum-opening-catering","converted_ffmpeg_fallback","190738","1080","1920","MAPLAB 台南美術館湯德章圓環美食專場，戶外藝文活動餐點"
"湯德章圓環台南美食.JPG","maplab-tangdezhang-circle-tainan-food-event-story.webp","1080","1920","story_9x16","daxin-art-museum-opening-catering","converted_sharp","73552","1080","1920","MAPLAB 湯德章圓環台南美食活動，戶外活動餐點"
"湯德章圓環特展台南美食專場.JPG","maplab-tangdezhang-exhibition-food-event-story.webp","1080","1920","story_9x16","daxin-art-museum-opening-catering","converted_sharp","142330","1080","1920","MAPLAB 湯德章圓環特展台南美食專場，展覽活動外燴"
"誠品酒窖品酒會開幕.jpeg","maplab-opening-wine-cellar-catering-site-reference.webp","1600","900","hero_16x9","site reference only","converted_ffmpeg_fallback","159854","1600","900","MAPLAB 品牌空間開幕餐點，網站案例參考素材"
"匹克球以球會友餐會.JPG","maplab-community-sports-pickleball-catering-case.webp","1200","900","case_4x3","second batch / community event","converted_sharp","142334","1200","900","MAPLAB 匹克球以球會友餐會，社群交流活動餐點"
"產後護理之家聖誕餐會.JPG","maplab-institution-christmas-catering-nursing-center-case.webp","1200","900","case_4x3","corporate-catering-tainan support","converted_sharp","153356","1200","900","MAPLAB 機構聖誕餐會外燴，節慶活動餐點桌"
"老錢風生日派對.HEIC","maplab-old-money-birthday-party-catering-story.webp","1080","1920","story_9x16","second batch / private party","converted_ffmpeg_fallback","145464","1080","1920","MAPLAB 老錢風生日派對外燴，高端私宴點心桌"
